prompt,category
Write a scene where two strangers discover they have the same recurring dream.,creative_writing
Describe a city where people's shadows have minds of their own.,creative_writing
Tell a story about a letter that arrives fifty years too late.,creative_writing
Invent a myth explaining why the stars flicker at night.,creative_writing
Write a moment where a character hears music no one else can hear.,creative_writing
Explain how photosynthesis converts light energy into chemical energy.,factual
Define the term 'geostationary orbit' and describe its key properties.,factual
Summarize the causes and consequences of the 2008 financial crisis.,factual
Describe how vaccines stimulate an immune response in the human body.,factual
Explain the difference between mitosis and meiosis.,factual
Describe your personal opinion on whether technology makes life better or worse.,opinion
Share a reflection on what makes a book truly memorable to you.,opinion
State your view on the importance of taking risks in life.,opinion
Give your opinion on whether people are naturally optimistic or pessimistic.,opinion
Reflect on what you believe defines a meaningful friendship.,opinion
Provide a step-by-step guide for organizing a cluttered workspace.,step_by_step
Give a step-by-step explanation of how to back up files to an external drive.,step_by_step
Write a step-by-step process for brewing the perfect cup of coffee.,step_by_step
Create a step-by-step tutorial for setting up a new email account.,step_by_step
Explain the step-by-step method for changing a flat tire.,step_by_step
Suggest the most efficient way to diagnose a laptop that suddenly won't boot.,problem_solving
Explain how you would prioritize tasks when managing an overloaded project schedule.,problem_solving
Describe the best approach to resolve a conflict between two team members.,problem_solving
Outline how to identify the root cause of a sudden drop in website traffic.,problem_solving
Propose a strategy to reduce customer churn for a subscription service.,problem_solving
